gene_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ENSG00000009844	248.9	125	20.66	101.89	52.46	70	90	0	0
ENSG00000009950	28.01	312.03	32.6	12.15	7.07	0	43.26	2.18	32.97
ENSG00000009954	604	373	1119	713	5280	7	1113	1169	181
ENSG00000010017	364.87	34	179	36	0	39	1206.91	0	36
ENSG00000010030	0	9	0	7	9	0	0	0	0
ENSG00000010072	11	9	104	38	0	0	0	0	0
ENSG00000010165	145	0	105	97	0	0	448	0	1
ENSG00000010219	25	0	645	128	5	0	1528	1	0
ENSG00000010244	1815.01	493	673.12	842.44	3595	91.22	453	641.77	1871.81
ENSG00000010256	691	3	154	103	0	237	910	0	5
ENSG00000010270	57	2	49	26	0	1	26	0	0
ENSG00000010278	598	265	151	39	0	1344	1212	14	2.00E+03
ENSG00000010282	0	0	0	0	0	0	0	0	0
ENSG00000010292	266	0	224.16	275	0	0	946	1.81	0
ENSG00000010295	237	1	641	253	0	1	0	1455	231
ENSG00000010310	5.51	3371.52	16.58	20.62	0	1	20	0	0
ENSG00000010318	0	0	3	0	0	0	0	0	0
ENSG00000010319	2	0	0	47	0	1	0	0	0
ENSG00000010322	229	1957	409	1263	0	4	250	114	0
ENSG00000010327	2105	1	6768	2	185	1	100	39	0
ENSG00000010361	23	0	0	1	0	0	0	0	0
ENSG00000010379	0	0	0	0	0	0	0	0	0
ENSG00000010404	2598.9	111.9	707.09	907.74	4615.67	4	181.63	91	347.45
ENSG00000010438	0	0	0	46	0	39.96	988	0	0
ENSG00000010539	25.96	0	11	114.65	0.78	0	3	0	0
ENSG00000010610	6543	2	3817	75	697	0	1939	2	2598
ENSG00000010626	49	0	0	1	0	0	0	329	24.32
ENSG00000010671	483	0	334	0	0	0	0	0	14
ENSG00000010704	217.73	1.01	57.51	20.63	2.93	456.22	5.42	60.08	108.4
ENSG00000010803	143	0	272	1584	0	0	79	8	0
ENSG00000010810	660	330	33	295	402	0	35	14	152
ENSG00000010818	490	763	641	670	385	1271	33	0	2970
ENSG00000010932	1	233	0	41	0	0	0	0	0
ENSG00000011007	81.36	0	55	203.81	0	0	185	294	0
ENSG00000011009	357	0	7	142	0	0	74	0	0
ENSG00000011021	492.63	34	72.83	68	4	0	0.73	0	0
ENSG00000011028	89	2850	61	649	0	0	66	743	0
ENSG00000011052	0	0	0	0	0	0	0	0	0
ENSG00000011083	8	0	0	0	0	0	0	0	0
ENSG00000011105	0	0	2	740	0	0	48	0	0
ENSG00000011114	402	4	237.58	228	740.9	1	1.85	327.35	5.65
ENSG00000011132	4	0	0	149.03	0	0	1	0	0
ENSG00000011143	7	883	10	6	0	0	8	0	0
ENSG00000011198	409	748	75	35	0	0	246	0	483
ENSG00000011201	118	632	113	22	0	0	0	0	0
ENSG00000011243	393	223	494	556.99	817	0	1525	0	0
ENSG00000011258	97	1	92	36	0	0	0	1	5
ENSG00000011260	10	0	26	30	0	0	35	0	2
ENSG00000011275	224	0	341	340.24	126	0	185.13	109	156.87
ENSG00000011295	439	1164	129.63	102.9	0	5566	9.02	5	5163
ENSG00000011304	1491	120	1086	482	8416	903	2657	135	212
ENSG00000011332	0	0	0	0	0	0	0	0	0
ENSG00000011347	0	0	5	76	0	0	0	0	0
ENSG00000011376	69	447	2	19	0	0	288	0	0
ENSG00000011405	287	3.02	111.1	536.24	3556	13287	225	102.31	0
ENSG00000011422	22788	1365	9755	450	467	3002	2140	48	0
ENSG00000011426	108	0	39	36	0	0	29	0	45
ENSG00000011451	152	408	422	252	0	0	149	0	0
ENSG00000011454	368.39	30	137.57	621.6	0	2	1835	3150	1
ENSG00000011465	207	43661	0	3957	0	0	16	13	0
ENSG00000011478	8.96	0	12.76	7.87	54.68	0	0	0	5
ENSG00000011485	105	1	574.46	700.22	0	4	53	0	0
ENSG00000011523	387.81	8.93	35.84	54.79	0	0	77.05	0	49.02
ENSG00000011566	347	0	92	189	1	0	7	236	199
ENSG00000011590	0	0	0	0	0	0	0	0	0
ENSG00000011600	5604	2	5590	2	576	0	482	2	0
ENSG00000011638	145.92	0	22	13	0.01	0	47	0	0
ENSG00000011677	0	0	9	1	42	0	89	0	700
ENSG00000012048	33	0	29.22	8.65	0	0	2.01	0.91	0
ENSG00000012061	262.65	191	85.37	202.34	0	0	300	0	1
ENSG00000012124	109	2.99	503.37	2	3.84	0	0	1	0
ENSG00000012171	29	0	0	50	0	0	0	0	0
ENSG00000012174	137	2	497	43	0	0	160	0	0
ENSG00000012211	26	0	87	1	0	0	58	0	19204
ENSG00000012223	3	0	0	0	0	1	0	0	0
ENSG00000012232	129	3.87	39.2	286.87	15.23	1	119	0	3.1
ENSG00000012504	0	0	0	0	0	0	0	0	0
ENSG00000012660	391	1534	458	185	0	5771	1	3	362
ENSG00000012779	2120	1	1226	0	0	0	448	0	0
ENSG00000012817	34	16	17	2	0	6	270	4775	10
ENSG00000012822	1920	22	602	871	796	1	1277	1	391
ENSG00000012963	28	0	55	162	0	2	2	0	0
ENSG00000012983	197	2	175	138	0	6	0	159	1
ENSG00000013016	2	0	27	692	0	0	0	0	0
ENSG00000013275	213	1	215	79	0	0	434	1	742
ENSG00000013288	335	191	248.64	464.04	0	345	187	4.63	347
ENSG00000013293	1.07	2.23	1.55	2.44	22.32	2.02	0.15	0	0
ENSG00000013297	0	0	9.93	108	0	0	0.99	1	0
ENSG00000013306	112	125	376	641	1916	0	425	3.05	10
ENSG00000013364	352	1103	722.9	701.01	18.22	0	53	0	1
ENSG00000013374	490.88	276	198.01	192.03	0	1965	494	4	100.3
ENSG00000013375	37.8	0	152.48	133.31	0	0	25.5	0	0
ENSG00000013392	3	0	6	20	0	0	1	0	0
ENSG00000013441	1157	1605	936	1004	9434	1	864	263.36	5135
ENSG00000013503	168	86	118	24	0	1	76	0	5058
ENSG00000013523	216	0	46.55	60.32	0	0	26.34	0	0
ENSG00000013561	86.8	6	7.11	90.68	1.83	0	18	21.21	76.37
ENSG00000013563	559.74	0	8.38	13	66	0	2.71	0	0
ENSG00000013573	103.59	1	231.94	248.13	0	0	192	0	8
ENSG00000013583	56	15	487	32	0	0	2	0	0
ENSG00000013588	346	18484	355	1515	4210	45558	15620	166	24629
ENSG00000013619	40	360	2	26	0	0	0	0	0
ENSG00000013725	0	0	0	446	142	0	0	0	0
ENSG00000013810	431	1	136	1	1012	0	117	0	7
ENSG00000014123	312	17	27	35	54	0	427	2	1
ENSG00000014138	177	1	322	72.89	2	0	59.16	2	0
ENSG00000014164	160	0	93	79	0	0	0	0	0
ENSG00000014216	280	0	138	329	0	13	354	0	129
ENSG00000014257	231	0	59	1	0	0	192	0	0
ENSG00000014641	116	33	3	17	0	0	187	0	107
ENSG00000014824	806	2	32	2359	0	0	46	0	333.01
ENSG00000014914	102	2	7	242	0	2	21	4191	0
ENSG00000014919	462	639	678	109	444	0	3	0	0
ENSG00000015133	321	0	62	141	2675	4	87	0	219
ENSG00000015153	33	0	2	27	8	0	3	0	0
ENSG00000015171	405	518	138	168	302	0	63	0	0
ENSG00000015285	558	0	386	0	0	0	16	0	4
ENSG00000015413	0	0	0	296	0	0	81	0	0
ENSG00000015475	281	1	550.8	35.02	360	0	7	3299	24
ENSG00000015479	741.27	189.63	125.77	492.57	2	34.19	394	29.65	562.11
ENSG00000015520	0	0	19	45	0	0	0	0	0
ENSG00000015532	14	0	0	113	0	0	0	0	0
ENSG00000015568	2	1.2	38.38	35.76	0	0	8.72	27.3	0
ENSG00000015592	0	0	0	0	0	0	0	0	0
ENSG00000015676	274	23	52	495	0	0	69	31	81
ENSG00000016082	0	0	0	31	0	0	0	0	0
ENSG00000016391	1.22	0	15.07	68.99	264.33	0	0	36.18	23.16
ENSG00000016402	0	0	0	0	0	0	53	0	55
ENSG00000016490	0	0	1	5	265	0	9894	0	4038
ENSG00000016602	0	0	0	0	0	0	0	0	3
ENSG00000016864	76	63	202	281	0	0	148	0	0
ENSG00000017260	426.93	3	452.29	272	9	1	805	1	0
ENSG00000017427	141.4	923.52	89.14	196.86	0	0	5	0	0
ENSG00000017483	0	0	0	188	0	0	0	0	0
ENSG00000017797	1084	204	348	237	1969	0	289	0	59
ENSG00000018189	202	67	90	129	75	0	4	0	0
ENSG00000018236	2	641	0	0	0	0	0	0	0
ENSG00000018280	6812.01	2	4437.99	1.02	20	0	17	2.01	0
